Age,Attrition,Business Travel,Daily Rate,Department,Education Field,Employee Number,Gender,Hourly Rate,Job Level,Job Role,Marital Status,Monthly Income,Monthly Rate,Over Time,Percent Salary Hike,Performance Rating,Standard Hours,Total Working Years,Years At Company,Years In Current Role
41,Yes,Travel Rarely,1102,Sales,Life Sciences,1,Female,94,2,Sales Executive,Single,5993,19479,Yes,11,3,80,8,6,4
49,No,Travel Frequently,279,Research & Development,Life Sciences,2,Male,61,2,Research Scientist,Married,5130,24907,No,23,4,80,10,10,7
37,Yes,Travel Rarely,1373,Research & Development,Other,4,Male,92,1,Laboratory Technician,Single,2090,2396,Yes,15,3,80,7,0,0
33,No,Travel Frequently,1392,Research & Development,Life Sciences,5,Female,56,1,Research Scientist,Married,2909,23159,Yes,11,3,80,8,8,7
27,No,Travel Rarely,591,Research & Development,Medical,7,Male,40,1,Laboratory Technician,Married,3468,16632,No,12,3,80,6,2,2
32,No,Travel Frequently,1005,Research & Development,Life Sciences,8,Male,79,1,Laboratory Technician,Single,3068,11864,No,13,3,80,8,7,7
59,No,Travel Rarely,1324,Research & Development,Medical,10,Female,81,1,Laboratory Technician,Married,2670,9964,Yes,20,4,80,12,1,0
30,No,Travel Rarely,1358,Research & Development,Life Sciences,11,Male,67,1,Laboratory Technician,Divorced,2693,13335,No,22,4,80,1,1,0
38,No,Travel Frequently,216,Research & Development,Life Sciences,12,Male,44,3,Manufacturing Director,Single,9526,8787,No,21,4,80,10,9,7
36,No,Travel Rarely,1299,Research & Development,Medical,13,Male,94,2,Healthcare Representative,Married,5237,16577,No,13,3,80,17,7,7
35,No,Travel Rarely,809,Research & Development,Medical,14,Male,84,1,Laboratory Technician,Married,2426,16479,No,13,3,80,6,5,4
29,No,Travel Rarely,153,Research & Development,Life Sciences,15,Female,49,2,Laboratory Technician,Single,4193,12682,Yes,12,3,80,10,9,5
31,No,Travel Rarely,670,Research & Development,Life Sciences,16,Male,31,1,Research Scientist,Divorced,2911,15170,No,17,3,80,5,5,2
34,No,Travel Rarely,1346,Research & Development,Medical,18,Male,93,1,Laboratory Technician,Divorced,2661,8758,No,11,3,80,3,2,2
28,Yes,Travel Rarely,103,Research & Development,Life Sciences,19,Male,50,1,Laboratory Technician,Single,2028,12947,Yes,14,3,80,6,4,2
29,No,Travel Rarely,1389,Research & Development,Life Sciences,20,Female,51,3,Manufacturing Director,Divorced,9980,10195,No,11,3,80,10,10,9
32,No,Travel Rarely,334,Research & Development,Life Sciences,21,Male,80,1,Research Scientist,Divorced,3298,15053,Yes,12,3,80,7,6,2
22,No,Non-Travel,1123,Research & Development,Medical,22,Male,96,1,Laboratory Technician,Divorced,2935,7324,Yes,13,3,80,1,1,0
53,No,Travel Rarely,1219,Sales,Life Sciences,23,Female,78,4,Manager,Married,15427,22021,No,16,3,80,31,25,8
38,No,Travel Rarely,371,Research & Development,Life Sciences,24,Male,45,1,Research Scientist,Single,3944,4306,Yes,11,3,80,6,3,2
24,No,Non-Travel,673,Research & Development,Other,26,Female,96,2,Manufacturing Director,Divorced,4011,8232,No,18,3,80,5,4,2
36,Yes,Travel Rarely,1218,Sales,Life Sciences,27,Male,82,1,Sales Representative,Single,3407,6986,No,23,4,80,10,5,3
34,No,Travel Rarely,419,Research & Development,Life Sciences,28,Female,53,3,Research Director,Single,11994,21293,No,11,3,80,13,12,6
21,No,Travel Rarely,391,Research & Development,Life Sciences,30,Male,96,1,Research Scientist,Single,1232,19281,No,14,3,80,0,0,0
34,Yes,Travel Rarely,699,Research & Development,Medical,31,Male,83,1,Research Scientist,Single,2960,17102,No,11,3,80,8,4,2
53,No,Travel Rarely,1282,Research & Development,Other,32,Female,58,5,Manager,Divorced,19094,10735,No,11,3,80,26,14,13
32,Yes,Travel Frequently,1125,Research & Development,Life Sciences,33,Female,72,1,Research Scientist,Single,3919,4681,Yes,22,4,80,10,10,2
42,No,Travel Rarely,691,Sales,Marketing,35,Male,48,2,Sales Executive,Married,6825,21173,No,11,3,80,10,9,7
44,No,Travel Rarely,477,Research & Development,Medical,36,Female,42,3,Healthcare Representative,Married,10248,2094,No,14,3,80,24,22,6
46,No,Travel Rarely,705,Sales,Marketing,38,Female,83,5,Manager,Single,18947,22822,No,12,3,80,22,2,2
33,No,Travel Rarely,924,Research & Development,Medical,39,Male,78,1,Laboratory Technician,Single,2496,6670,No,11,3,80,7,1,1
44,No,Travel Rarely,1459,Research & Development,Other,40,Male,41,2,Healthcare Representative,Married,6465,19121,Yes,13,3,80,9,4,2
30,No,Travel Rarely,125,Research & Development,Medical,41,Male,83,1,Laboratory Technician,Single,2206,16117,No,13,3,80,10,10,0
39,Yes,Travel Rarely,895,Sales,Technical Degree,42,Male,56,2,Sales Representative,Married,2086,3335,No,14,3,80,19,1,0
24,Yes,Travel Rarely,813,Research & Development,Medical,45,Male,61,1,Research Scientist,Married,2293,3020,Yes,16,3,80,6,2,0
43,No,Travel Rarely,1273,Research & Development,Medical,46,Female,72,1,Research Scientist,Divorced,2645,21923,No,12,3,80,6,5,3
50,Yes,Travel Rarely,869,Sales,Marketing,47,Male,86,1,Sales Representative,Married,2683,3810,Yes,14,3,80,3,3,2
35,No,Travel Rarely,890,Sales,Marketing,49,Female,97,1,Sales Representative,Married,2014,9687,No,13,3,80,2,2,2
36,No,Travel Rarely,852,Research & Development,Life Sciences,51,Female,82,1,Research Scientist,Married,3419,13072,Yes,14,3,80,6,1,1
33,No,Travel Frequently,1141,Sales,Life Sciences,52,Female,42,2,Sales Executive,Married,5376,3193,No,19,3,80,10,5,3
35,No,Travel Rarely,464,Research & Development,Other,53,Male,75,1,Laboratory Technician,Divorced,1951,10910,No,12,3,80,1,1,0
27,No,Travel Rarely,1240,Research & Development,Life Sciences,54,Female,33,1,Laboratory Technician,Divorced,2341,19715,No,13,3,80,1,1,0
26,Yes,Travel Rarely,1357,Research & Development,Life Sciences,55,Male,48,1,Laboratory Technician,Single,2293,10558,No,12,3,80,1,1,0
27,No,Travel Frequently,994,Sales,Life Sciences,56,Male,37,3,Sales Executive,Single,8726,2975,No,15,3,80,9,9,8
30,No,Travel Frequently,721,Research & Development,Medical,57,Female,58,2,Laboratory Technician,Single,4011,10781,No,23,4,80,12,12,8
41,Yes,Travel Rarely,1360,Research & Development,Technical Degree,58,Female,49,5,Research Director,Married,19545,16280,No,12,3,80,23,22,15
34,No,Non-Travel,1065,Sales,Marketing,60,Male,72,2,Sales Executive,Single,4568,10034,No,20,4,80,10,9,5
37,No,Travel Rarely,408,Research & Development,Life Sciences,61,Male,73,1,Research Scientist,Married,3022,10227,No,21,4,80,8,1,0
46,No,Travel Frequently,1211,Sales,Marketing,62,Male,98,2,Sales Executive,Single,5772,20445,Yes,21,4,80,14,9,6
35,No,Travel Rarely,1229,Research & Development,Life Sciences,63,Male,36,1,Laboratory Technician,Married,2269,4892,No,19,3,80,1,1,0
48,Yes,Travel Rarely,626,Research & Development,Life Sciences,64,Male,98,3,Laboratory Technician,Single,5381,19294,Yes,13,3,80,23,1,0
